tx_id,timestamp,payer_id,beneficiary_id,amount,payment_system,status,kyc_verified,risk_tier,device_ok,ip,score,reasons,flag,model_version,rule_config_version
TX00001694,2025-12-06T19:42:56.091411,C100096,BEN3107,1731.63,UPI,completed,True,low,True,177.47.39.10,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003419,2025-12-06T19:44:06.091411,C100094,BEN7718,6184.03,UPI,completed,True,low,True,52.141.24.141,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00003871,2025-12-06T19:44:23.091411,C100328,BEN5914,180.12,UPI,completed,True,low,True,63.51.68.120,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003325,2025-12-06T19:45:16.091411,C100182,BEN5029,3281.64,UPI,completed,True,low,True,97.40.38.225,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001582,2025-12-06T19:48:13.091411,C100078,BEN7144,5492.24,UPI,completed,False,low,True,38.63.171.198,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000437,2025-12-06T19:48:55.091411,C100071,BEN8138,1037.68,UPI,completed,True,medium,True,78.20.68.85,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003613,2025-12-06T19:52:08.091411,C100099,BEN8828,2317.19,RTGS,completed,False,low,True,250.22.96.232,30,['rtgs_unusual_small_amount'],Low,deterministic-v1,rules-2025-12-09
TX00003551,2025-12-06T19:54:16.091411,C100310,BEN5412,1310.24,UPI,completed,False,low,True,14.174.116.52,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000837,2025-12-06T19:56:49.091411,C100104,BEN5545,2395.09,UPI,completed,True,low,True,168.87.226.158,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001885,2025-12-06T19:57:13.091411,C100163,BEN7222,6353.67,UPI,completed,True,low,True,35.49.157.60,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00001624,2025-12-06T19:57:32.091411,C100372,BEN7439,3790.74,UPI,completed,True,low,True,205.11.209.115,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001053,2025-12-06T19:58:33.091411,C100367,BEN5526,645.66,UPI,completed,True,low,True,241.190.188.11,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00002897,2025-12-06T19:58:54.091411,C100191,BEN3562,2816.87,UPI,reversed,True,low,True,28.106.139.192,0,['auto_reversal_sim'],Low,deterministic-v1,rules-2025-12-09
TX00001480,2025-12-06T19:59:14.091411,C100238,BEN5650,1255.36,UPI,completed,True,low,True,236.219.74.45,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003458,2025-12-06T20:00:39.091411,C100291,BEN3528,4299.71,NEFT,completed,True,low,True,121.38.124.226,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001519,2025-12-06T20:01:44.091411,C100129,BEN9865,899.71,UPI,completed,True,medium,True,210.104.3.152,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002111,2025-12-06T20:01:46.091411,C100079,BEN1235,265.47,UPI,completed,True,low,True,172.63.114.157,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001960,2025-12-06T20:02:42.091411,C100020,BEN7755,1329.3,NEFT,completed,False,low,True,142.149.155.37,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002178,2025-12-06T20:04:42.091411,C100269,BEN9812,135.87,UPI,completed,False,medium,True,63.119.108.65,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003911,2025-12-06T20:09:57.091411,C100042,BEN8694,57.99,RTGS,completed,False,medium,True,246.53.38.199,30,['rtgs_unusual_small_amount'],Low,deterministic-v1,rules-2025-12-09
TX00001036,2025-12-06T20:11:27.091411,C100285,BEN4933,93.0,UPI,completed,True,low,True,167.48.165.65,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001733,2025-12-06T20:12:57.091411,C100083,BEN4976,124.39,UPI,completed,False,high,True,82.186.195.101,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000636,2025-12-06T20:14:21.091411,C100015,BEN2168,4474.16,UPI,completed,True,low,True,163.158.152.11,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001096,2025-12-06T20:17:18.091411,C100350,BEN7539,344.23,UPI,completed,True,low,True,203.139.134.165,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000906,2025-12-06T20:18:14.091411,C100156,BEN5144,5940.53,UPI,completed,True,low,True,212.195.105.151,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00002608,2025-12-06T20:18:49.091411,C100388,BEN4120,3862.9,UPI,completed,True,low,True,54.185.61.69,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000474,2025-12-06T20:18:56.091411,C100225,BEN8867,1490.89,UPI,completed,False,low,True,127.33.59.162,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003130,2025-12-06T20:19:01.091411,C100384,BEN3680,1406.85,UPI,completed,True,low,True,51.88.8.54,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002565,2025-12-06T20:20:48.091411,C100354,BEN4141,2608.16,UPI,completed,False,low,True,8.183.183.235,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003685,2025-12-06T20:21:38.091411,C100021,BEN1344,5531.7,UPI,completed,True,medium,True,128.75.214.134,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00000292,2025-12-06T20:21:46.091411,C100002,BEN8817,903.17,UPI,completed,False,low,True,23.33.35.4,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00000684,2025-12-06T20:23:08.091411,C100317,BEN3658,565.23,UPI,completed,True,low,True,199.208.104.55,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003598,2025-12-06T20:23:28.091411,C100309,BEN6408,1365.32,UPI,completed,True,low,True,189.133.166.40,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001402,2025-12-06T20:23:32.091411,C100362,BEN3339,5532.42,UPI,completed,True,low,True,10.205.194.28,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00002001,2025-12-06T20:23:38.091411,C100313,BEN9159,1585.3,UPI,blocked,True,low,False,74.246.248.247,90,['ip_reputation'],High-Risk,deterministic-v1,rules-2025-12-09
TX00002621,2025-12-06T20:24:01.091411,C100130,BEN5050,478.62,NEFT,completed,True,low,True,64.166.115.182,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002938,2025-12-06T20:24:18.091411,C100104,BEN7577,1871.39,RTGS,completed,True,low,True,149.60.2.223,130,"['rtgs_unusual_small_amount', 'sanctions_hit']",STR,deterministic-v1,rules-2025-12-09
TX00003078,2025-12-06T20:24:22.091411,C100383,BEN7431,564.2,UPI,completed,True,low,True,141.234.20.211,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002099,2025-12-06T20:24:35.091411,C100053,BEN7583,8784.17,UPI,completed,True,low,True,125.76.249.234,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003382,2025-12-06T20:26:07.091411,C100107,BEN2999,3124.61,UPI,completed,True,low,True,227.3.51.206,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00000546,2025-12-06T20:28:36.091411,C100360,BEN7119,1746.23,UPI,completed,True,low,True,242.185.152.121,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001486,2025-12-06T20:28:49.091411,C100075,BEN4330,934.82,UPI,completed,False,low,True,4.49.175.191,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000765,2025-12-06T20:28:57.091411,C100292,BEN9161,620.79,UPI,completed,True,low,True,231.153.120.195,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000373,2025-12-06T20:29:46.091411,C100201,BEN9684,1147.7,UPI,completed,True,low,True,143.115.205.81,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001085,2025-12-06T20:30:21.091411,C100125,BEN5887,3034.48,UPI,completed,False,low,True,156.199.224.72,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003545,2025-12-06T20:32:40.091411,C100111,BEN6832,1820.12,UPI,completed,True,low,True,78.30.170.146,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002882,2025-12-06T20:33:04.091411,C100052,BEN7959,7313.15,UPI,reversed,True,low,True,62.22.234.41,0,['auto_reversal_sim'],Low,deterministic-v1,rules-2025-12-09
TX00002037,2025-12-06T20:33:17.091411,C100380,BEN3679,3293.96,UPI,completed,True,low,True,56.197.119.163,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003664,2025-12-06T20:38:10.091411,C100350,BEN5934,1117.12,UPI,completed,True,low,True,165.115.67.118,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001071,2025-12-06T20:38:16.091411,C100294,BEN4094,5801.12,UPI,completed,True,high,True,85.210.83.221,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00001587,2025-12-06T20:38:19.091411,C100174,BEN6187,153.9,UPI,completed,True,medium,True,182.53.48.219,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00001253,2025-12-06T20:38:27.091411,C100394,BEN7182,1882.68,UPI,completed,True,medium,True,135.97.195.122,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002579,2025-12-06T20:38:29.091411,C100083,BEN3930,2555.0,UPI,completed,False,high,True,117.48.2.172,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003885,2025-12-06T20:40:10.091411,C100034,BEN3860,9377.93,UPI,completed,True,low,True,34.9.131.227,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00002286,2025-12-06T20:41:27.091411,C100370,BEN1233,4156.48,UPI,completed,True,low,True,169.28.186.218,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000207,2025-12-06T20:41:43.091411,C100295,BEN4154,60.15,UPI,completed,True,low,True,70.37.242.181,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000040,2025-12-06T20:42:49.091411,C100152,BEN7214,2160.18,UPI,completed,True,low,True,53.18.26.153,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003722,2025-12-06T20:44:57.091411,C100334,BEN3785,3605.11,UPI,completed,False,medium,True,211.51.238.54,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000304,2025-12-06T20:45:49.091411,C100014,BEN4954,8447.11,NEFT,completed,True,low,True,147.189.2.117,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00003884,2025-12-06T20:46:45.091411,C100072,BEN2976,718.3,UPI,completed,True,low,True,139.94.9.114,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001663,2025-12-06T20:46:54.091411,C100082,BEN3119,2098.71,UPI,completed,True,low,True,42.142.97.60,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003769,2025-12-06T20:47:00.091411,C100314,BEN4666,1138.57,UPI,blocked,True,high,False,70.28.243.246,90,['ip_reputation'],High-Risk,deterministic-v1,rules-2025-12-09
TX00000600,2025-12-06T20:47:38.091411,C100355,BEN5478,1905.96,UPI,completed,True,low,True,157.239.196.157,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001810,2025-12-06T20:48:15.091411,C100086,BEN1498,702.95,UPI,completed,True,low,True,66.189.208.17,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001956,2025-12-06T20:48:41.091411,C100171,BEN8227,3739.48,UPI,blocked,False,low,False,60.81.179.250,190,"['ip_reputation', 'sanctions_hit']",STR,deterministic-v1,rules-2025-12-09
TX00001187,2025-12-06T20:48:44.091411,C100286,BEN3346,2939.81,UPI,completed,True,low,True,154.183.196.214,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001603,2025-12-06T20:48:53.091411,C100176,BEN9043,2251.75,NEFT,completed,True,low,True,189.154.233.103,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002245,2025-12-06T20:50:55.091411,C100295,BEN9761,720.13,UPI,completed,True,low,True,191.172.181.229,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000844,2025-12-06T20:51:15.091411,C100355,BEN2876,433.14,UPI,completed,True,low,True,91.233.234.135,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000334,2025-12-06T20:51:29.091411,C100091,BEN6883,183.16,UPI,completed,True,medium,True,65.78.191.209,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000780,2025-12-06T20:51:48.091411,C100008,BEN9652,1814.89,UPI,completed,False,low,True,41.211.208.236,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000997,2025-12-06T20:53:55.091411,C100036,BEN2317,510.03,UPI,completed,False,medium,True,72.97.148.58,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003098,2025-12-06T20:55:29.091411,C100315,BEN4120,3513.03,UPI,completed,True,high,True,97.90.106.177,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001457,2025-12-06T20:55:52.091411,C100262,BEN1928,1792.12,UPI,completed,True,high,True,52.198.112.60,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001465,2025-12-06T20:57:31.091411,C100100,BEN2520,2572.67,UPI,completed,True,low,True,98.221.198.53,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002217,2025-12-06T20:58:19.091411,C100267,BEN4714,2748.41,UPI,completed,True,low,True,220.88.142.210,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003242,2025-12-06T21:00:54.091411,C100003,BEN6667,3545.08,UPI,blocked,True,low,False,166.243.50.249,190,"['ip_reputation', 'sanctions_hit']",STR,deterministic-v1,rules-2025-12-09
TX00003842,2025-12-06T21:02:02.091411,C100223,BEN9902,3129.71,UPI,completed,True,high,True,182.136.160.32,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003318,2025-12-06T21:03:08.091411,C100377,BEN7929,2414.73,UPI,completed,True,low,True,67.204.11.16,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00002503,2025-12-06T21:04:07.091411,C100231,BEN7879,2759.1,UPI,completed,True,low,True,23.130.10.153,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000901,2025-12-06T21:04:51.091411,C100334,BEN5683,2007.12,UPI,completed,False,medium,True,172.185.208.40,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001717,2025-12-06T21:04:58.091411,C100039,BEN7013,1204.89,UPI,completed,True,low,True,75.197.2.152,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002216,2025-12-06T21:05:36.091411,C100197,BEN5772,80.57,UPI,completed,True,low,True,95.100.114.173,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00000457,2025-12-06T21:05:42.091411,C100145,BEN5960,3741.2,UPI,completed,False,low,True,221.129.54.90,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002737,2025-12-06T21:06:06.091411,C100370,BEN3173,1558.6,NEFT,completed,True,low,True,234.205.170.120,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001927,2025-12-06T21:06:24.091411,C100076,BEN7166,1185.55,UPI,completed,True,medium,True,78.149.12.95,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001205,2025-12-06T21:08:21.091411,C100032,BEN6753,2225.59,UPI,completed,True,high,True,36.233.119.153,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003765,2025-12-06T21:08:51.091411,C100364,BEN4808,3465.65,UPI,completed,True,low,True,144.227.44.29,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000314,2025-12-06T21:09:47.091411,C100208,BEN2663,2391.29,UPI,blocked,True,low,False,138.244.109.247,90,['ip_reputation'],High-Risk,deterministic-v1,rules-2025-12-09
TX00001541,2025-12-06T21:10:35.091411,C100199,BEN2447,4163.43,UPI,completed,False,low,True,237.93.189.210,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00000364,2025-12-06T21:11:10.091411,C100082,BEN5593,1075.86,NEFT,completed,True,low,True,197.237.154.17,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002543,2025-12-06T21:11:17.091411,C100214,BEN9220,1088.73,UPI,blocked,True,low,False,41.188.87.245,90,['ip_reputation'],High-Risk,deterministic-v1,rules-2025-12-09
TX00000258,2025-12-06T21:11:20.091411,C100046,BEN6698,304.46,UPI,reversed,True,low,False,194.138.2.250,90,"['ip_reputation', 'auto_reversal_sim']",High-Risk,deterministic-v1,rules-2025-12-09
TX00002699,2025-12-06T21:11:22.091411,C100023,BEN5813,666.33,NEFT,completed,True,low,True,150.26.241.90,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000969,2025-12-06T21:11:47.091411,C100335,BEN1188,1813.66,NEFT,completed,True,low,True,46.229.37.113,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000263,2025-12-06T21:13:21.091411,C100050,BEN1438,4207.22,UPI,completed,True,medium,True,126.130.67.139,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001644,2025-12-06T21:19:21.091411,C100210,BEN8472,1474.19,UPI,completed,True,low,True,90.185.87.194,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003178,2025-12-06T21:21:11.091411,C100141,BEN7249,2339.54,UPI,completed,True,low,True,239.153.17.210,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001736,2025-12-06T21:23:59.091411,C100145,BEN2920,3334.31,UPI,completed,False,low,True,86.123.165.74,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003529,2025-12-06T21:25:21.091411,C100039,BEN8561,1326.57,UPI,completed,True,low,True,130.134.143.94,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003250,2025-12-06T21:27:19.091411,C100009,BEN2854,4293.65,UPI,completed,True,medium,True,104.88.102.18,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003128,2025-12-06T21:28:40.091411,C100072,BEN6363,144.31,RTGS,completed,True,low,True,147.112.120.79,30,['rtgs_unusual_small_amount'],Low,deterministic-v1,rules-2025-12-09
TX00001025,2025-12-06T21:28:50.091411,C100172,BEN8277,185.18,NEFT,completed,True,medium,True,239.35.47.189,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00002103,2025-12-06T21:29:23.091411,C100181,BEN8713,4282.92,UPI,completed,True,high,True,135.68.50.74,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003707,2025-12-06T21:29:29.091411,C100396,BEN8950,1013.8,UPI,completed,True,low,True,12.120.148.142,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000041,2025-12-06T21:30:11.091411,C100228,BEN1724,270.3,UPI,completed,True,low,True,83.61.78.225,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002736,2025-12-06T21:30:18.091411,C100088,BEN6318,6837.04,RTGS,completed,True,high,True,227.234.129.66,75,"['rtgs_unusual_small_amount', 'dormant_account_spike']",Medium,deterministic-v1,rules-2025-12-09
TX00001958,2025-12-06T21:30:22.091411,C100161,BEN7060,3345.49,UPI,completed,False,medium,True,174.63.10.237,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000494,2025-12-06T21:31:04.091411,C100139,BEN3149,9067.73,UPI,completed,True,low,True,151.203.101.50,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00000758,2025-12-06T21:31:07.091411,C100267,BEN3984,3943.62,UPI,completed,True,low,True,109.115.231.164,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00001877,2025-12-06T21:31:17.091411,C100232,BEN1160,1878.2,UPI,completed,True,low,True,193.7.192.174,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001525,2025-12-06T21:31:22.091411,C100000,BEN6061,2675.48,UPI,completed,True,low,True,23.49.185.31,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001477,2025-12-06T21:31:43.091411,C100007,BEN6418,1899.9,UPI,completed,True,low,True,22.190.193.179,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003341,2025-12-06T21:32:29.091411,C100283,BEN3543,2911.34,UPI,completed,True,high,True,156.71.200.187,0,[],Low,deterministic-v1,rules-2025-12-09
TX00001781,2025-12-06T21:33:31.091411,C100361,BEN8181,7270.05,UPI,completed,False,low,True,159.110.102.219,45,['dormant_account_spike'],Medium,deterministic-v1,rules-2025-12-09
TX00003968,2025-12-06T21:34:42.091411,C100122,BEN6381,1060.04,UPI,completed,True,low,True,29.223.126.234,0,[],Low,deterministic-v1,rules-2025-12-09
TX00003492,2025-12-06T21:36:20.091411,C100376,BEN4757,3348.35,UPI,completed,True,low,True,71.38.224.3,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00003075,2025-12-06T21:36:34.091411,C100238,BEN5108,2280.53,UPI,completed,True,low,True,250.242.199.75,0,[],Low,deterministic-v1,rules-2025-12-09
TX00000596,2025-12-06T21:37:16.091411,C100288,BEN8805,195.77,UPI,completed,True,low,True,40.117.138.226,0,[],Low,deterministic-v1,rules-2025-12-09
TX00002990,2025-12-06T21:38:45.091411,C100301,BEN5317,1233.97,UPI,completed,True,low,True,78.211.139.201,100,['sanctions_hit'],High-Risk,deterministic-v1,rules-2025-12-09
TX00000229,2025-12-06T21:39:28.091411,C100098,BEN7369,4167.65,UPI,completed,True,low,True,207.168.171.134,0,[],Low,deterministic-v1,rules-2025-12-09
